字段ID	字段名	描述	类型
7f0e2aa5-886e-4eed-82ee-1d3e1c82ee64	CostCenterName1	成本利润中心1名称 例如：大区1；大区2	NVARCHAR
8cefa73d-e72a-4459-8612-e751660037e4	OcrCode2	成本利润中心2代码 例如：D001；D002	NVARCHAR
23432841-66b2-47a7-b1b6-64ca2c5b583f	CostCenterName2	成本利润中心2名称 例如：财务部；销售部	NVARCHAR
22b6dde6-f5b5-47e0-a693-92d484b555a7	OcrCode3	成本利润中心3代码 例如：E001；E002	NVARCHAR
d132b2fb-e983-4cda-8f3c-6a9f072d3ffd	CostCenterName3	成本利润中心3名称 例如：张玮；李珊珊	NVARCHAR
7780d6b1-e250-4ff3-921a-43e2e3b5e1f2	OcrCode4	成本利润中心4代码 例如：B01；B02	NVARCHAR
ab164522-8c0c-4e20-822d-e904097703fd	CostCenterName4	成本利润中心4名称 例如：产品线1；产品线2	NVARCHAR
b48afb38-c51c-4dde-816a-046d676046d4	OcrCode5	成本利润中心5代码 例如：C19001	NVARCHAR
5e753a67-e5b1-4aaa-93bf-3e083c46703a	CostCenterName5	成本利润中心5名称 例如：安杰科达有限公司	NVARCHAR
181295e3-001d-4593-a4c3-9788b5cbb59f	Code	财务期间 例如：2024-05	NVARCHAR
3adf5a6b-0945-40c5-b4cf-8a91bf0030c5	Category	财务年度 例如：2024	NVARCHAR
3d62801b-8368-4285-ba3a-e165bcacaeea	BPLId	分支代码 例如：3；4	INTEGER
11408a3a-e7d9-4b55-91c4-eba0ec387939	BPLName	分支名称 例如：孝闻店；中央花园	NVARCHAR
