字段ID	字段名	描述	类型
69d35a13-62ed-4ccb-812d-06fbc82b934e	CostCenterName2	成本利润中心2名称 例如：财务部；销售部	NVARCHAR
f53cb727-c92e-4eaa-8b1f-082c532f15ba	OcrCode3	成本利润中心3代码 例如：E001；E002	NVARCHAR
67f539b5-a9b5-48d5-8737-e1690c4f9d7d	CostCenterName3	成本利润中心3名称 例如：张玮；李珊珊	NVARCHAR
f64e37a7-6155-4eea-97c4-a6bf2a7f8c80	OcrCode4	成本利润中心4代码 例如：B01；B02	NVARCHAR
44840ff6-a760-4f8c-ad69-001d8a7e7c11	CostCenterName4	成本利润中心4名称 例如：产品线1；产品线2	NVARCHAR
6b0b7fe1-4a8a-4fb3-965c-9a144272baa7	OcrCode5	成本利润中心5代码 例如：C19001	NVARCHAR
61473616-e7f4-4d82-9dd9-ae5b2b84e6ad	CostCenterName5	成本利润中心5名称 例如：安杰科达有限公司	NVARCHAR
b5d77a4e-1d1b-4f50-8522-41db58a4cff9	Code	财务期间 例如：2024-05	NVARCHAR
bdd48ada-4234-4e85-8b50-fc3138f1d9e5	Category	财务年度 例如：2024	NVARCHAR
a415a03d-2b54-4cd3-99ff-15016e728818	BPLId	分支代码 例如：3；4	INTEGER
74820fa3-d62e-49a2-83cf-70f3bdfe27f3	BPLName	分支名称 例如：孝闻店；中央花园	NVARCHAR
72a8c0af-41e3-4de3-a92e-4118ef3e92a9	OpenLineTotal	未清不含税金额  例如：2702.70	DECIMAL
99c06a22-4984-42ff-bcc2-aa6c80e5dcb6	OpenGTotal	未清含税金额  例如：23100.00	DECIMAL
d5bad66b-c3a5-4337-847b-18797d97c849	OpenTotalFrgn	未清不含税外币金额  例如：3281.25	DECIMAL
ce681020-545a-40db-96cd-cffedbd74b6b	OpenGTotalFC	未清含税外币金额  例如：3281.25	DECIMAL
